service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1612_PO,0,0,0,0,0,0,0,20260516,20270131
1612_SO,0,0,0,0,0,0,0,20260516,20270131
1612_SW,0,0,0,0,0,0,0,20260516,20270131
1612_PT,0,0,0,0,0,0,0,20260516,20270131
1612_CZ,0,0,0,0,0,0,0,20260516,20270131
1613_PO,0,0,0,0,0,0,0,20260516,20270131
1613_SO,0,0,0,0,0,0,0,20260516,20270131
1613_SW,0,0,0,0,0,0,0,20260516,20270131
1613_PT,0,0,0,0,0,0,0,20260516,20270131
1613_CZ,0,0,0,0,0,0,0,20260516,20270131
